Time,CHIRPS1,Actual,Selaud
04/08/2017,3.291113,,0
05/08/2017,0,,0
06/08/2017,0,,0
07/08/2017,30.98046,,0.5
08/08/2017,20.65364,,22.5
09/08/2017,20.65364,,30
10/08/2017,0,,10.5
11/08/2017,0,,1.5
12/08/2017,23.410633,,14.5
13/08/2017,35.11595,,7.5
14/08/2017,70.2319,,3.5
15/08/2017,46.821266,,83
16/08/2017,12.801318,,10
17/08/2017,12.801318,,12.5
18/08/2017,0,,0.5
19/08/2017,0,,0
20/08/2017,0,,0
21/08/2017,0,,0
22/08/2017,6.6920605,,0
23/08/2017,6.6920605,,6.5
24/08/2017,0,,18.5
25/08/2017,0,,0
26/08/2017,28.369247,,0
27/08/2017,9.456416,,12
28/08/2017,0,,4
29/08/2017,28.369247,,4
30/08/2017,0,,76
31/08/2017,9.456416,,2
01/09/2017,5.451316,,0
02/09/2017,10.902632,,0
03/09/2017,10.902632,,0.5
04/09/2017,5.451316,,0.5
05/09/2017,10.902632,,14.5
06/09/2017,14.720504,,8.5
07/09/2017,0,,0.5
08/09/2017,7.360252,,0
